BL  avg SBD   rmse  relerr,%   avg bias    r_corr
EV    629.5   46.4     7.4       797.2    0.993186
EY    332.2   95.8    28.9       664.3    0.973586
ME    657.8   41.4     6.3     -1315.6    0.985598
MS   1817.7   67.1     3.7      -455.2    0.978372
MT    410.8   48.9    11.9      -821.6    0.986706
MV    756.9   46.6     6.2      -554.8    0.981644
MY    339.1   48.1    14.2      -678.3    0.949062
SE   1708.4   13.4     0.8      -870.2    0.997747
SV   1137.6   14.8     1.3      -149.6    0.994778
SY   2287.7   64.5     2.8      -360.1    0.966807
TE    276.0   35.1    12.7      -476.9    0.992071
TV    265.0   14.8     5.6       171.5    0.995829
TY   1110.7   73.2     6.6       125.7    0.954197
VY   1013.6   46.5     4.6      -214.3    0.952361
