BL  avg SNR   rmse  relerr,%   avg bias    r_corr
EV   1611.5   18.7   1.16       56.2    0.999468
EY   1508.8   14.0   0.93      -32.0    0.998684
ME   1110.5    5.1   0.45       -6.2    0.999997
MS    668.0    9.9   1.49      -12.7    0.999991
MT    753.4    9.0   1.19       -9.3    0.999986
MV    682.3   16.2   2.37       25.4    0.999993
MY    634.2    5.7   0.90      -10.3    0.999981
SE   1610.0   12.4   0.77      -21.5    0.999420
SV   4275.0   37.0   0.87      197.3    0.999660
SY   2982.7   11.9   0.40      -80.4    0.999763
TE   1869.3   15.1   0.81      -10.4    0.999200
TV   5007.9   39.7   0.79      244.7    0.999630
TY   3371.2    9.1   0.27      -54.1    0.999899
VY   3507.2   13.3   0.38       91.1    0.999912 
